"2019-06-10 12:31:44 [main] INFO  c.s.g.GiphyServiceApplication - Starting GiphyServiceApplication on BLR-STR-SUSHMITHA with PID 17612 (/home/sushmitha/Documents/My_Projects/GiphyServiceMongoTest/giphy-service-giphy-service-crud-mongo/target/classes started by sushmitha in /home/sushmitha/Documents/My_Projects/GiphyServiceMongoTest/giphy-service-giphy-service-crud-mongo)
""2019-06-10 12:31:44 [main] DEBUG c.s.g.GiphyServiceApplication - Running with Spring Boot v2.1.1.RELEASE, Spring v5.1.3.RELEASE
""2019-06-10 12:31:44 [main] INFO  c.s.g.GiphyServiceApplication - No active profile set, falling back to default profiles: default
""2019-06-10 12:31:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-06-10 12:31:45 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41ms. Found 1 repository interfaces.
""2019-06-10 12:31:46 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9090 (http)
""2019-06-10 12:31:46 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-06-10 12:31:46 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-06-10 12:31:46 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib]
""2019-06-10 12:31:46 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-06-10 12:31:46 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
""2019-06-10 12:31:46 [cluster-ClusterId{value='5cfe005ad7bdfd44ccb82a8d', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:1}] to localhost:27017
""2019-06-10 12:31:46 [cluster-ClusterId{value='5cfe005ad7bdfd44ccb82a8d', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 6, 8]}, minWireVersion=0, maxWireVersion=6, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=1687249}
""2019-06-10 12:31:47 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
""2019-06-10 12:31:47 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-06-10 12:31:47 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
""2019-06-10 12:31:47 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
""2019-06-10 12:31:47 [main] INFO  s.d.s.w.s.ApiListingReferenceScanner - Scanning for api listing references
""2019-06-10 12:31:47 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
""2019-06-10 12:31:47 [main] INFO  c.s.g.GiphyServiceApplication - Started GiphyServiceApplication in 3.976 seconds (JVM running for 4.773)
""2019-06-10 12:32:08 [Thread-2] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
"
