"2019-01-23 17:17:17 [main] INFO  c.s.g.GiphyServiceApplication - Starting GiphyServiceApplication on BLR-STR-SUSHMITHA with PID 13965 (/home/sushmitha/GiphyServiceMysqlTest/giphy-service/target/classes started by sushmitha in /home/sushmitha/GiphyServiceMysqlTest)
""2019-01-23 17:17:17 [main] DEBUG c.s.g.GiphyServiceApplication - Running with Spring Boot v2.1.1.RELEASE, Spring v5.1.3.RELEASE
""2019-01-23 17:17:17 [main] INFO  c.s.g.GiphyServiceApplication - No active profile set, falling back to default profiles: default
""2019-01-23 17:17:18 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-01-23 17:17:18 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52ms. Found 1 repository interfaces.
""2019-01-23 17:17:18 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f620da6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-01-23 17:17:19 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-01-23 17:17:19 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-01-23 17:17:19 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
""2019-01-23 17:17:19 [main] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib]
""2019-01-23 17:17:19 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-01-23 17:17:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-01-23 17:17:19 [main] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2019-01-23 17:17:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2019-01-23 17:17:19 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2019-01-23 17:17:19 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
""2019-01-23 17:17:19 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2019-01-23 17:17:19 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
""2019-01-23 17:17:19 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2019-01-23 17:17:20 [main] INFO  o.h.t.s.internal.SchemaCreatorImpl - HHH000476: Executing import script 'org.hibernate.tool.schema.internal.exec.ScriptSourceInputNonExistentImpl@7a522157'
""2019-01-23 17:17:20 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2019-01-23 17:17:20 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2019-01-23 17:17:20 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
""2019-01-23 17:17:21 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2019-01-23 17:17:21 [main] INFO  s.d.s.w.p.DocumentationPluginsBootstrapper - Context refreshed
